"Chiamare subito l'idraulico, sta allagando il bagno",urgente
"Pagare la bolletta della luce entro oggi o mi staccano la corrente",urgente
"Rispondere urgentemente all'email del capo prima delle 18",urgente
"Portare il gatto dal veterinario, non mangia da due giorni",urgente
"Scadenza fattura fornitore oggi, devo bonificare subito",urgente
"Il frigorifero ha smesso di funzionare, tutto il cibo si sta rovinando",urgente
"Consegnare la relazione entro mezzogiorno, non posso rimandare",urgente
"Prenotare urgentemente una visita dal dentista, dolore fortissimo",urgente
"Mia figlia ha la febbre alta, chiamare il pediatra subito",urgente
"Rinnovare l'assicurazione auto scaduta ieri",urgente
"La caldaia perde acqua, chiamare il tecnico immediatamente",urgente
"Devo firmare e rispedire il contratto entro oggi pomeriggio",urgente
"Chiamare la banca, carta di credito bloccata per un pagamento sospetto",urgente
"Recuperare i documenti in stampa entro le 9 per la riunione",urgente
"Spegnere il fornello, sto uscendo di casa in questo momento",urgente
"Rispondere al cliente arrabbiato prima che chiuda l'ufficio",urgente
"Portare mio padre in pronto soccorso, dolore al petto",urgente
"Pagare il bollo auto oggi, ultimo giorno utile",urgente
"Il tubo dell'acqua è scoppiato in cucina, serve un idraulico ora",urgente
"Inviare i documenti al commercialista entro le 12 di oggi",urgente
"Chiamare subito la scuola, mio figlio si è fatto male",urgente
"Blocco della carta bancomat, contattare la banca immediatamente",urgente
"Devo ritirare la medicina in farmacia prima che chiuda",urgente
"Presentazione da finire entro un'ora, sono in forte ritardo",urgente
"Perso il volo delle 10, chiamare subito la compagnia aerea",urgente
"La macchina non parte e devo essere in ufficio tra 20 minuti",urgente
"Rispondere al giudice, scadenza del ricorso è oggi",urgente
"Mio marito è caduto dalle scale, chiamare il 118",urgente
"Serve firmare urgentemente i moduli prima della chiusura degli uffici",urgente
"Il gas continua a fuoriuscire, chiamare subito il numero verde",urgente
"Devo pagare l'affitto entro oggi o rischio la mora",urgente
"Il computer si è bloccato prima di salvare la presentazione, urgentissimo",urgente
"Portare il cane dal veterinario, ha ingerito qualcosa di strano",urgente
"Confermare entro un'ora la disponibilità per il colloquio di lavoro",urgente
"Corrente saltata in tutta casa, chiamare l'elettricista subito",urgente
"Ritirare il referto medico prima delle 13, poi chiude l'ambulatorio",urgente
"Devo rispedire il pacco reso entro oggi, ultimo giorno",urgente
"Chiamare l'assicurazione, ho appena avuto un piccolo incidente in auto",urgente
"Serve stampare il biglietto del treno, parte tra 40 minuti",urgente
"Rispondere subito al messaggio del proprietario di casa",urgente
"Ho dimenticato le chiavi dentro casa, chiamare un fabbro ora",urgente
"Consegnare il progetto entro le 17, il cliente aspetta",urgente
"Chiamare il commercialista, la dichiarazione scade oggi a mezzanotte",urgente
"Mia madre si sente male, devo andare da lei subito",urgente
